Sentiments,Reviews
positive,Daraz is working good job ....Thanks daraz for your best and fast delivery at our door step..
neutral,Fresh potatoes but packaging was not good. 
positive,good product....thanky0u..daraaz♥️♥️
positive,It was a nice experience. Wardrobe helped to organzie my niece's stuff very easily. The good thing is that u can decrease shelves according to the need.
positive,Thanks  daraz
positive,Great things working exvellent received as see in pics quickconnecting also sound is well recommended seller thanks daraz
positive,oh my god ❤️ it's amazing product and quality is to much good 😊 highly recommend
positive,buhot achy hain jesa picture mein delays Hain bilqul wesa Hain thank you daraz sellar
positive,Its perfect.. size and quality ... And price.. Good..
positive,very useful product
positive,it was nice and satisfied
positive,Good bags
positive,Good serice good product
positive,the products are economical and the qualities also good
positive,bht khoob 100% original
positive,received parcel all products timely delivered
negative,I ordered 2 RGB lights and one was damaged and some of the lights were not working.
negative,"extremely disgusting colours. only multi colored l. I wanted simple like purple, cyan etc not multi colored.iWILL NEver order again. I want to change. NEver order here, they are sending leftovers."
positive,it  is a Nyc Product 🤗
positive,Very good quality of the product and delivery was also very fast slightly different from the picture shown but end result is very good
positive,"Brand Product 
Thanks Daraz App "
neutral,received in good packing . price is high for the worth of this item
positive,all the vegetables are premium quality 
negative,not as much effective
positive,"Excellent 
Very good"
positive,"Satisfied with this, it's good I'm happy with this 🥰🥰 strongly recommended"
positive,"Safe packing and received exactly what i ordered ,arrived before time haven’t use yet hopefully it will work thank you seller and rider"
positive,Amazing Experience with Daraz & Seller This is my 2nd Order from the store. I recommend to buy from the seller. The Product is working Good. thank you
positive,Achi quality tee ❤️
negative,"don't order this shampoo it's totally fake , too bad"
positive,Hands-free has good sound and quality. Delivered on time. 
positive,"Came with good packing, works fine air pressure is also good,  3 minute continue to smell"
negative,Well I ordered silver after confirmation from the seller. He took my order from chat for silver one but delivered the black one. Upon pointing the mistake he confirmed me that he will send me silver but now giving lame excuses.
positive,original product outclass DARAZ outclass service so many time purchase
positive,Buht acha speakr hai awaz bhi achi hai 
positive,it was an excellent
positive,In this price product is awesôme . Seller is very responsive . Delivery made on time .
positive,"The sandals are very nice and the quality is also very good. received the same colors and sizes which i ordered. fully satisfied with the product. recommended. And thank you for the complimentary watch. it is 1st time that i got any gift form daraz, so happy for this. thank u daraz, thanks seller"
positive,Lovee itt 👍
positive,It’s very nice has music and lights. Product quality is also good
neutral,It’s amazing but my strobe effect doesn’t work
negative,going to reorder it again
neutral,Overall experience from daraz 60% good to deliver and items.
neutral,I ordered two underwears one in skin color and one in black color but received only skin colored underwear.kindly send me the black one which I ordered...
negative,"DARAZ plz remove this seller -_- third class handsfree, plz don't waste your money. . . "
positive,alo frsh quality 
positive,Good product and perfect dilevery
negative,zabardast  lights
neutral,Very happy with the product but delivery was delayed
positive,Superb quality .. must buy it girls .. 5/5 Delivered on time .. price very very reasonable.. Packaging is also remarkable.
negative,"You all have full fragrances, dark ones or very boyish ones you have given a tester. What's the point of writing one when it's misters hello local fragrances"
positive,Good quality pad. Reasonable pricing!
negative,I always buy this product but this time I am not satisfied
positive,"my tension free vegetable providers ..... no need to go to market and handpick every piece, daraz fresh do this for me. vegetables are fresh and never overripe. Keep up the good work. 👍"
positive,got what i ordered 👍
positive,osm same size same colour
positive,Awesome bags in this price and also saller is very very coprative 👍 thank you so much daraz 
positive,fresh & fresh 😍
positive,outclass and reasonable price
positive,It is most important shoes in very low prices 
positive,very good quality product. value for money. very fast deliver
positive,delivered on time and good quality
positive,amazing in this price quality is normal in this price same as shown
positive,it was nice.Good Quality..
positive,"Nice product, same as shown in pic . thank you seller & draz"
neutral,"Received a large box wherein another small box containing makute electric blower with reasonable quality of plastic body. Out of 2 magnetic springs, one is found broken. Trying to share pics but Draz App is supporting to upload."
negative,I paid 1000 extra to buy hp 840 G3 i5 6300U but seller send me hp 840 G3 i5 6200u and not responding for it.
positive,achi product ha itani qimat ha main 😍😍😍
negative,I ordered white airpods but I got black one 
negative,38 size is very small
positive,good service or fresh sabzi thi
positive,good product. value to money 
negative,very bad experience this time ketchup package damage 😫
neutral,it was very good but the only problem was that the wire came out of the socket which later caused a big problem of audio but over all a pretty good head set but when the audio completely disappeared it was a sad moment
negative,"Sent defective product, not switching on, why not checked by seller before dispatch, Pathetic"
neutral,"product is fantastic 😊😊
seller is also a good man 
little bit late but daraz handle it properly.."
positive,"Thanks Again, Great experience with this saler, Very hard and safe peaking, Nice taste and fast delivery, I will give you ⭐⭐⭐⭐⭐, Thank You 😊"
negative,"Worst quality, the alignment is not symmetrical. No finishing in welds. Not recommended"
positive,very good amazing thanks daraz and thanks saller
neutral,it's good but loose for my hair dryer
negative,Poor Quality in this price
positive,Thank you to the seller. Great value for many it's a huge size.
positive,super Products my Kids Very Happy Thanks Seller and Daraz
neutral,shirt cloth was not good but its print is good
negative,its sound quality is really bad and it can bearly hear my mic dont buy it
positive,Paking is good deliver on time. Saller send the same as I ordered work good recommended
negative,The brush was poor quality and arrived broken. I want a replacement.
negative,where am i supposed to get money back
positive,Same hy nice voice nd music everything Best 
positive,It is very nice website to buy things
positive,Best product and using with dslr.
positive,I love it same as shown Thank you for this product in reasonable price.
negative,I will never recommend anybody to order from their! Bad experience!
positive,osam delevery
positive,"I did not use yet, but looks quality product, standard packed, received safely."
positive,good quality and fresh vegetables.thanku daraz for making life easy and most imp delivery on time
positive,best quality alhumdulilah jesy dekhaya same wesa hi h thank you daraz
negative,worst quality headphones 
positive,beautiful pouch seller behaviour is extremely gooood very cooperative seller thanks daraz and seller for sending me this beautiful pouch ❤️❤️❤️❤️
negative,Saeed Ghani sent me a damage Hair Growth Water Bottle.
positive,Such a good quality product I'm satisfied with the quality of case and zip is good as well nicely packed. Definitely recommend you guys
positive,Good product 👍👍👍👍👍 💯 real product
positive,Amezing
neutral,"original hands-free with perfect sound quality, but you should deliver it in a box or at least in bubble wrap to avoid any damages. "
positive,good quality by price point
positive,"Received 100% original Gionee handsfeee in economical price. I'm using it since months and the results are the same as on day one. 
Got one free sim ejection pin with it too."
negative,waste 
positive,"It was good, delivery was in time 👍🏻"
positive,It is a very good product. It works well. I recommend  it. 
positive,nice peaking 
positive,"Yes, as compare to price, it was good. Liked the product"
positive,Stars are beautiful and shining properly.
positive,Bahut achi nikli hai handsfree. I have been using it from 2 weeks
positive,awesome 👍 delivery on time but stickiness thori kaam hai baki fabulous 😄 colors mashaallah 9/10 ✌️
positive,very good quality. working good. i am satisfied. recommended if you are looking for cheap but good option.
negative,poor quality. screws are missing. poor standard
negative,Sorry To Say that Product Quality is Very Pathatic & Poor.I used only One Time .The Cap Of The Steamer melt Down & D shaped.I want to lodge my Former Complaint to DARAZ & Your Company.Photo of D shaped Product is given above. You are Requsted To Replace The Junked Product as the soonest.
negative,"Red led always remains on even after turning off from remote. Also, switching to blue or green also keeps red on. Faulty item."
negative,"so disopoint due to color,,,I ordered for Gold color but when I received its was black in color... spoil the matching of my Eid dress of my kid's."
positive,Best quality and delivered on time.💯💯
positive,It is  very good i like it. thank u
neutral,vegetables bs theek they fresh nhe they is bar hmesha ki trah 
negative,zabrdast 💞
positive,very good price and vegetables
positive,"TOday I bought My parcel, This Maxi are Beautiful Same as show I love it Insha Allah Shop again❤️✨ Thank you seller & Daraz Recommended ✅"
positive,Very good quilty . I am happy with my purchase.
positive,"Best quality according to price, fast delivery, same as shown in picture."
negative,puri 6 nh thi 5 aei haii... whyyy??????
positive,"For this price 
EXCELLENT product 
Highly Recommended"
positive,Same as mentioned Good and original. Thank you.
positive,fresh thay potato 
neutral,The hair clip is really beautiful and same as shown in the picture but the tassels are of not that quality they are a bit weak
positive,Very Good HandFree 1000000% Recommended
neutral,a little uncomfortable to wear for a long time but otherwise I'm in love with them thank youuuuu
positive,Good quality ❤️
positive,Thkz daraz🎉🎉🤗👏 that are so good in this price i ordered 2 and they both are too good thanks for not disappointing me daraz 😊😊🤗🤗
positive,"amazing product a must buy household item for every kitchen.deliverd before estimated time,willcom to this store again for sure as their prices are very reasonable.thanx to the seller and daraz🙏🙏👍🙏👍🙏👍🙏"
neutral,"very very light weight and low material, nothing extra ordinary there is one bulb that is only changing is colour, such a low material that you can see the whole board inside from mouse scroll"
negative,AC is not cooling. The number given on warranty card is not answering. very disappointed.
positive,Such a handy product for a tingly massage 💆 Recommended!
positive,same as picture and nice product thanks for it ☺️
positive,"The moused was good, and it is the same thing as in the picutres. I am satisfied that the mouse pad is big enough and is smooth"
positive,GreAt quality and same thing i recieved as shown in the picture !! ThankYou so much seller for your honesty 👍 will order more soon inshAllah
positive,Nice product I’m happy to see this thanks daraz
negative,"poor experience. after hour saying tu tu ..low battery. well, am not satisfied..i will not buy again. ThankYou"
positive,بچوں کے ساتھ ساتھ ان کے ابا بھی بہت خوش ہیں۔
neutral,"the quality is ok, little damage from one side,as shown in picture "
negative,NOT RECOMMENDED
positive,same as shown good quality sound quality is good 👍
negative,Good product but too much sensitive n a bit of linkage. Not recommended
negative,not working and alsoseems like used
negative,very bad experience
neutral,But it's not a new model.
negative,Due to some error I am not able to post pics. But plz don't buy these. The quality is very very cheap. In pic they showed i12 and sended i18 or something. Plz don't buy and save your money. And the sound quality is very bad and voice lagovers. Not recommend
negative,battery timming is very poor less than 1 hour
positive,got the same luved it
positive,"Reasonably good
 I personally don't like black color for such shoes. Overall good quality Vs price."
positive,Ache he I ordered 2nd time dilevery on time
positive,"nice quality and good sound 
best hearing for pubg also 
highly recommended "
positive,got it in very reasonable price than local market mention price 200 and long expiry date
positive,Size or quality perfect highly recommended am fully satisfied for this product
negative,"Don't order from here, they are trying to clear their damage stock... delivery was made too late as well as they have delivered the damages article... disappointed. never gonna order electronics from daraz.pk"
negative,"Low battery time,  one earpod is not working properly and voice is also of poor quality "
negative,it was hard to wear.
negative,battery time boht kam ha sirf ak ganta 
neutral,good experience a bit late 🏃💨 all fresh Very good
positive,"amazing product, nice packing best quality product deeep bass clear sound.. .original goinee brand. thanks daraz seller you're recommend. sound quality be just amazing "
positive,printed tights have a lovely soft quality i wear it feel so perfect and very comfortable
positive,Same as advertised. Recommended Seller 👍
neutral,They are good but kind of overpriced and also not so much comfortable
positive,fresh hotay hain hamesha 👍
positive,superb 
negative,My Order not received 
negative,"I found one strip not working 
🙁😩"
negative,The handsfree had noise problem on voice calling. 
positive,Awesome Product i just loved it.
positive,nice product 
positive,Good skipping rope. My boy is truly happy.
positive,wow its amazing product belive me no need gym equipments this best experience for beginners .. i am very happy with this resistant band also i ordered black one 25kg resistant ... THANKS DRAZ
neutral,good product and seller was quite cooperative. but i d advise not to wear this product more than 6 hours straight. it tends to form blisters around the surrounding skin just like rashes
negative,very disopinted used bhyja ha I want 2 return this coz battery time b nai ha is ka kindly tell me main return kesy karun ap ny Pasay new k liy Hain tu new hi bhajty na sacraches Hain dibi k super or cap b bohat loose ha
negative,V.Bad Quality Shoes Not Recommend At all
positive,I give u 5 star😊
positive,very good and excellent product and very reasonable price
positive,Dove is the name of love 😘 very amazing product to use. Product is having Perfect Quality with free delivery at my door step. So Happy to Have This Amazing Discount and Superb Quality Product 😊 Thank you so much 🥰 DARAZ and Dove
positive,very fast delivery and fresh quality product received securely packed .good taste
neutral,not good quality was just ok I hope it will be better 
positive,very good product but battery timing kam hai but good hai ❤
positive,Highly recommend good product
negative,not as good shampoo as the store bought imported stuff.
positive,Always satisfied from Daraz. Thank you. 
positive,excellent pain relief bought so many times
positive,good quality product 👍
positive,Very nice product n same as shown. I am soooo happy 😊
positive,"Thank you so much draz
But yeh light Kase hoty hy room ki light off kr k b nh jaal rahy"
positive,All good n on time 
negative,jo size mmagya tha wo aya nahi return karvana hay
positive,amazing 
positive,bahut achi r useful cheez hai according to it's price
positive,very good packing. good quality and very cooperative seller. recommend
positive,Good product same as shown on pic 
positive,satisfied 👍
positive,Excellent Quality same item received as shown in the picture
positive,"extremely satisfied, fastest delivery, best product, very soft, and easy to carry, very small box 😊"
positive,"super excited to get these cute small pots, best experience with Jangomango store, inshaAallah will definitely buy again, 100% recommended store💯💖 love to see more items like these. and thanks fore the Gift🙏😇"
neutral,"Good quality but improve your packing,umbrella will be in a box."
positive,Good One
positive,"Ordered two and got them in 3 days , very fine quality with hardened case upper and lower. Amazing stuff"
positive,I like it 🙂.same as shown in pic. Thanks Daraz 
positive,good quality bags .it has much space to carry clothes for my need nice 
positive,Excellent!
positive,good quality 😌 thanks daraz
positive,thank you so much 💞 buht achi shirt beji hai mujy buht passand ai hai stuff bi buht axha hai 
positive,Same as shown in pic â¤ï¸
positive,I tried microsoft towels and went back to these because you can't beat cotton.
positive,Good product with a reasonable price. The quality us as you would expect with that price. Thanks seller.
positive,Amazing product it really gives some beauty to the room 🌸🌸❤️❤️❤️❤️❤️❤️😊💖💖💖✨✨ 1000% reccomend it is so lovely thank you so muchhhhh
positive,it's better than I thought. I liked the product overall☺
negative,"The lights are not sticking , it falls everyday ."
positive,all chillies are fresh. good size. really like to buy from daraz
negative,Stars are not shining 
positive,nice same as it's
positive,"Amzing, very nice buletooth hndfre"
positive,100% satisfied
negative,Perhaps the worst purchase on Daraz so far. Very disappointing. I returned these.
positive,Good one
negative,we donot get our prcel
positive,wow this is incredible .. i love it. its clr is in golden which makes this glasses more beautiful
negative,Worked only for a week and now its light started to flicker not worth the money
positive,good product .bht e achi or price bi km thank you daraz 
positive,IS like the photo and arrived super fast.
positive,too good👍 like it thanks daraz
positive,nice quality. 🥰
neutral,not bad .but it is just for kids.
positive,original product. comfortable for ears. i recommend this product to everyone. 👍
positive,It's just trusty not well-known it's quality is not good
positive,the necklace is pretty and simple and just as shown in the picture
positive,Nice Product. Excellent Working
positive,GOOD IN THIS PRICE RANGE
neutral,"This is my first time when I ordered this. Honestly, I read the reviews first and then I bought it. It's been just 2 days so can't say anything. The ingredients seem extremely useful but the smell of kalonji extract is not pleasant for applying after a fresh hair wash."
negative,بہت اچھی چیز ہے  پسند ہے بہت بہت شکریہ
neutral,"Good quality shoes in this price range, white shoe laces are not good quality, Otherwise good!"
neutral,unable to understand that how they can packed broken bottle. broken bottle was packed which is clear negligence of packing boys but I have compromised due to hectic procedure of return and accepted as it is. anyways item was original and delivered on time
positive,the product was impressive and the packaging was also good hopefully I will order more products from the store
positive,fresh veggies. great experience.
positive,Excellent service product quality is also good
positive,good zabardast packing bhi achi h or delivery bhi time par
positive,very nice and fresh vegetables
positive,the quality is great. I'm fully satisfied also arrived on time 😊
negative,ye stars bilkul b shin ni krty light off kren toh  
positive,"Packaging was very good, came wrapped in two boxes. The quality is also very good given the price. The cable is also of good quality. I have used the blower a couple of times but never really used the vacuum. A very handy product especially for cleaning car or computers."
neutral,Good but smell is not ok
neutral,doesn't give a smooth shave but it's okay
positive,satisfied 😊
positive,such good quality and Fresh
positive,Very fast delivery I like it 
positive,Very nice product same as shown in picture must order I love it thank u daraz 
positive,Sooo cute and pretty 😍
positive,oo nice bohat acha Mila ufffffff ab ma Kya bolo bass boat acha ha
positive,Awesome as described will order again
negative,Wasted my money
positive,fresh product receive thanks darz
negative,very cheapest product. so disappointing. it's only a black powder which falls down quickly after applying. very very very very bad it's not a fiber hair it's only a black powder don't purchase it don't waste your money.. i wanted to refund but they didn't refunded my money😥
positive,Well packed and timely delivered Good product recieved with Warranty of Dawalance.
positive,Nice and good and perfect fit
positive,bags are comfortable 
positive,"I am happy to have received my parcel. The quality is good, and it was delivered on time. The size is also perfect. I highly recommend it.👌👍👍"
positive,excellent packing and complete saman k sath
positive,i love the quality and a cutie band
negative,Bad experience
positive,"battery timing boht zabardast ha
butt sound quality itne achi ni ha but sai ha
or rang thori km ha 
mike thora low ha zor sa bolna parta ha phr awaaz jati ha "
negative,fake hy koi naa mangwy
positive,"I have used this product before, it's very effective and takes in effect quickly"
positive,Definitely it is not original product because original costs you around rs4000-5000 but it works accurately and performs the task it is meant for.
positive,"Genuine and high quality product,
totally satisfied."
negative,Disappointed. I had paid for bottle with the pump but received a bottle with a flip top. IT IS NOT 70% alcohol based disinfectant either. Please don't waste money on this product. Better use a soap.
positive,VERY NICE 🙂🙂👍👍
positive,WOW all products are fresh 
neutral,product is original But Half Quantity Received I Think One Bottle Converts in two bottles I am not Happy
positive,"very nicely packed, working properly, definitely recommended ✨"
neutral,star recieve but Too small and Not too much reflectand glow light night.
positive,so nice works well
neutral,give more tape
negative,taste is not good
positive,working perfect it makes my speakers wireless and Bluetooth coverag is also up to the mark
positive,second order...satisfied..... recommended 💯💯
positive,Very nice satisfied with the product delivery on time I love it!!❤
negative,ya bhi km thy 
positive,"its beautiful and 
very reasonable Price"
positive,Good and decent product. 
negative,this is third class product don't buy this product this is not same as described
neutral,Just Satisfactory Not too. good Performance as expected
positive,I received my parcel today quality  is good I will shop again thanks daraz thanks seller and also thanks to rider 
positive,so excited to receive my parcel. love you DARAZ
negative,Very bad experience poor quality 0.0%
positive,highly recommended!
positive,it's so helpful 
positive,Good hands free with pretty decent sou8 quality.
positive,Buhat fit hain headphones
positive,Amazing great quality daraz free shipping I love daraz and I use daraz
positive,Thank you so much for these dresses😍 Such a beautiful dresses for such a low price🤗 The color and fabric is very awesome🥰 100% recommended❤️
positive,nice shoes and delivered on time  .recommended to all.  
negative,look what i ordered and what i received.
neutral,"The mouse moves on its own when I leave the mouse on it, otherwise all good."
neutral,Above Average Quality. seems okay as per price. Delivered Same as Shown.
positive,"Amazing quality 😊I love the T-shirt... color, size, fabric.. everything is perfect 💞 100% satisfied 
Thanku so much Daraz ♥️♥️"
positive,bohat pyari shirt hai or stuff bhi bohat behtreen hai
positive,excellent hair color
positive,original hai sound b acha hai or mic b gud hai recommend to all thnks daraz
positive,nice watch easy to use
negative,order kh or chz kh de rhy fruad bad experience 
negative,"Very poor product, waste of money don’t buy"
neutral,"thk h but uper buy 1 get 1 free likha hua tha 
mujhe sirf 1 Mili wo bhi 613 rupees ki orr delivery time bht poor tha 10 days bad mila mujhe mera order"
positive,boht achi hand free i hai.👍👍👍👍
positive,Price k lehaz say achi cheez hy
positive,"it  is a Nyc Product 🤗
So Cute~ 🌠
Lovely product..."
positive,"Good quality product in a very reasonable price. Packaging was secure. Also, seller sent a cute note with it which is a very good gesture by him. I am completely satisfied with my purchase. Thank you FunBug & Daraz 🤝🏻"
positive,"Received in good condition, satisfied 😊"
positive,delivery was very fast.
negative,I12 dikhai bhji I 18 Not fear 😨
negative,didnt work on any of my japanese cars
positive,very good quaility 🤩.....
positive,Nice colour and storage also wonderful.jesa pics me dikhaya gaya h bilkul wesa hi h.
positive,received exactly same i was scared but satisfied now
neutral,"The colors are very good, the material is acceptable but the string doesn't have sealed ends nor hoops. I ordered the medium size but the arms are a little short while the rest fits good. I would personally order a bigger size if I were to order again."
positive,Super good quality
negative,Get 100 or 200 more but send the good product people spend alot of time to buy things online and when the things are for protection of Somthing valuable you should not send garbage like this pathatic cover i wouldn't even bought it for free if i had seen Somthing like that in the market 👎👎
positive,I placed the order for this Samsung TV remote on 1st December and it was delivered to me on 4th December. The delivery was made on time. The packaging was very good. The remote is working perfectly. I will recommend others as well to buy from this seller.
negative,No I don't like it because ais Pai likha ha k ais mai charger agai ga lai ais mai tu charger nai ara ku Kai ais ka size bohat small hai😞😞
negative,The pictures printed on the wallet has cut and there is an empty space appeared on picture.
positive,they are very comfortable and they are look so cool and the quality is so much impressive 
positive,"Good 👍 Quality 🤠 Best ☺️ Price 👍
I Got Discount 👍"
positive,"good quality, good to cath lour fish"
positive,Good shoes better quality with price recommend
positive,original product nice packing fast delivery
negative,the sender send me wrong product which is not similar to the actual product shown in picture by DARAZ (quality wise and size wise). i m returning the product. quality of paracuit not good and found transperent.
positive,thank you daraz thank you so much very good 
neutral,"chez bht achi h stuff b thk h but size ka issue only 
otherwise product quality awesome👏✊👍 "
negative,"Battary timing is not batter. With in half hour got off.  And charge again and then using again.  Now today is 2nd day i receive my order....
I am totally disappointed this product."
positive,best Quality product same as shown 
positive,"It's really  good  product  in very  cheapest  rate, specially  with zip bag , I m so happy  to received so I highly  recommend to other to buy this product."
negative,not good deliver something else
negative,Me ne 2 mngwie the or mjhe 1 Mila he or sth charging wire bi ni pese pore pay kr dye lkn prsal me se nkla sirf 1 he plzzz dosra bi bheje mjhe
positive,It's good product delivery bi achi ha
neutral,Just a normal product it is don’t waste your money
positive,im so happy thank you daraz 
positive,Original product. Quality 10/10 thank you so much Daraz and the seller 🌟
positive,Nice 👍
positive,"Received my parcel...  💯 Recommended, seller was also co-operative 🖤"
positive,good product 👍🏻☺️
negative,"Selling Overpriced item. The product is more than 5 months old, although the seller promised me he will send it from a fresh lot. Not satisfied."
negative,product received with out charging cable. but the product claimed to have charging cable. highly disappointed
positive,Very Nyce Product or price b kum i am highly recommend fully satisfied 100 💯
positive,is price ma achy shoes Hy .good satisfied 
negative,They sent smaller ones. I was expecting larger size. Wasted money
negative,Only worked for a few days and then stopped.
neutral,Packing was looking little old but product was fine.
positive,It is nice.
negative,disappointed
negative,I am not satisfied with the quality of the bags.Raise your price or u can reduce your pack of 6 to pack of 4 but don't compromise on your quality I am not returning your item but as compared to Goluk brand  you guys need to improve
positive,jazakal Allah thank u seller bht achy bags bhaijhe hai bilkul same pic jaisy
positive,bohut acha experience raha vegetables ka👍👍👍...uff kia sabzi hai aur hamare area sai half price main yahankai rates hain...ab rates mat barha daina daraz pl😂😂
positive,amazing product 10/10
positive,Same as picture very good stitching stuff is also very soft beautiful colour i love it seller is very honest thanks seller and daraz ♥️
negative,Please don't buy it from this seller.
negative,jis ka Sath chipkana thi Wo nhi Aiya baki bus thk ha Kch khas Nhi ha Ab chipkna ka liya kch or Lena pry ga Yaqeen na kro to Axha ha ab
positive,bhot a6a tha jasy mangway tha same wasy hi thy
positive,I'm satisfied with this product.. Good quality working well. Working a a blower as well as vacuum. Good product.
neutral,One handfree is not working properly and other one Is good. 
positive,Quality and bass of handfree is very good compared to this price.
positive,Good to go.
positive,got these the 2nd time. hope they last longer than last time
negative,"Amazing product!
3 years back I started using Gionee earphones and since then there is no going back."
neutral,I ordered total 3 gloves 1 XL 1 L and 1 M.. But i only recieved XL and medium while i paid for all three.. Kindly deliver me the large one ASAP. Other wise the quality is best
positive,Satisfied for this product man
negative,buttons pressed and quality really low
positive,it's v beautiful and accurate size thanks daraz ..
positive,product so awesome very soft and good stuff ❤️ love this product thanks
neutral,Quality and product wise it's good but flimsy but I guess given the cost that's acceptable. I'm giving a low rating because I checked if red colour was available and they said it was and I ordered right away and I still received blue. Lying and cheating is just not acceptable. I will never buy from them again because they are not reliable.
positive,Well packed really impressed.. recommended 
positive,it was Soo Beautiful and Soo good
positive,AoA... parcel received...very nice...... quality with economy....I satisfied...tnx
neutral,It was great. Perfect Quality. Fits Perfectly. Works fine. The packaging was best. It was multi layer packaging. But product was delivered very late. Even late then was final delivery date.
positive,awesome
negative,handsfree bohat he bakwas hai i think  original nhi hai q k maine pehle b order kiye hai dosri market sai jo k abhi b top pr haidaraz pr he uske quality b achi hai aur dosra voice b.but is baar maine y try kiye hai q k rating achi the aur prize b us sai kam aur saat mai finger gloves b.lekin meri handfree kharab ho gaye hai sirf one month mai he.jaab k jo maine dosri order ke the wo abhi taak chal rahi hai 3 order ke wo bilkul tek hai but y kharab ho gaye hai.my suggestions is not to buy this product.honest review diya hai
negative,Dont buy this. not recommended. its leaves marks on the skin
positive,Delivery is on time and seller send me on time.
positive,good quality well packed in a box reasonable price delivered safely
positive,this product is so good you must to buy it and thanks to the seller for the gift of one pair wooden chopsticks thanku soo much 💕💕💕💕
positive,fully satisfied. thnx daraz 
negative,very diluted. not pure tea tree oil. not recommended at all. worst quality.
positive,"potatoes are so good and clean ,good experience"
neutral,"Good quality, but unfortunately i ordered wrog size,"
positive,The product was brilliant..high quality bags..same as shown in picture..
negative,it's waste of money nothing more...these sandels is very different that I received. My wrost experience ever.the size is also too small .
negative,cheap product
negative,very bad packing i am very disappointed by the service
negative,"Its toooo small in size 
Otherwise good quality"
negative,"it's useless without any fragrance , I even don't know it's safe or not"
positive,Product was excellent
positive,I Receive my order and it's amazing very 👍😍
positive,perfect👌👍 highly recommended👌 sane as shown in the pic. original Quality👌 thank u seller🥰
positive,it was good
neutral,Nice and Tasty but expire date very short.
positive,"Table is 10/10 .You can buy these tables.Table was well packed,not a single scratch.Appreciate buying.only thing i didn't know was no racket and net."
negative,Fake ones.. These r not original ones as i got from another seller previously.. Low grade replicas dont recommend at all. They dont have figer space joiners. Also poor stitching with pathetic nylon fabric. Irregular finger shapes.
negative,side straps are broken ..
positive,"looks exactly like the picture, clinic is very happy as it is very easy to use and no hassle of tray moving alot"
positive,"Bag reached on time. Its stuff is good. It can carry mobile, Money notes, coins, air pods, handsfree and other kind of stuff. And it is waterproof."
positive,Thats a good one
negative,pls dont buy if you guys are buying this for outdoor .
positive,What a beautiful thing I have found. Found as ordered. Thanks for your cooperation.
neutral,quality n sizes were better before
negative,"I was highly disappointed with the size of the bandages I received from Daraz. They were much smaller than what was advertised, making them inadequate for covering larger wounds. It's essential for sellers to provide accurate product dimensions to avoid misleading customers."
positive,Amazing products bought many iteams All iteams same as picture recommende
negative,They are a scam i ordered 40ml sent a 30ml dont order from them
positive,nice I'm happy price ke hisab sy perfect hai 🥰
neutral,"Nice lights, But light size is too small "
negative,not effective
positive,Excellent product. Recommend
positive,product is good
positive,Best quality. Good packaging. Timely delivered. Recommended Seller 👍
positive,thankyou seller ❤
positive,Pouch is included in the package.
negative,very low quality 😐charge py lagao to chalta h charging complete b ho tab nhi chalta
positive,better than ever
positive,wow very nice product as i have bought it.The best led light at a affordable price and come in best packaging.The delivery was quick.The seller also was quick to respond and make my confusions go away!
positive,Mashallah nice product 
negative,"intehai kharab quality hai, jaga jaga sy glue nikla hua hai or ek soul kata (cut) huwa hai, jb k seller ko kaha bhi tha k bhejny sy pehly check krlena. 
NOT RECOMMENDED, Look for another store."
positive,I Recived Digital Led Thermostat Temperature control  (W_1209) in good  packing . it is best in Quality . it delivered  in time . Thanks Seller and Daraz.
neutral,well packed
positive,one of the greatest mouse pad so far I've ever seen in best price and was delivered very quickly. So far our satisfaction increasing every time we order something in daraz. Great work daraz and thinkers professional karachi
neutral,very nice product.. best for cleaning the fans. only some energy is needed to use it otherwise its a good product..
positive,"Looking good
I hope this handsfree could stay much longer"
positive,cool
negative,dekhaty Kuch h .bajty Kuch h .boht choty choty h yea star .
positive,The product is very amazing 😍🤩🤩. The product is working properly and the delivery was on time. Will shop again
neutral,good product at budget price.
negative,It's Not My Order
neutral,Nice product. Same as described. Only issue with size. Must be available in atleast 3 different sizes.
negative,came broken…seller not replying
positive,It is nice I'm satisfied with the price as well as product. 
negative,Low quality of plastic as compared to the other one I ordered.
neutral,Nice headphone in this range also good for gaming 😌 The product was deleiverd in its time 🖤 Thanks daraz i always trust you 🖤❣
positive,I used it on my fridge and cupboard looking nice
positive,Received in good packaging. So far so good. 
neutral,Upper case was large and close well upon the lower case. Also no screw included for the closure of the case
neutral,its good but quality should be improved 
positive,"17S double wireless bluetooth hand free with power bank functioning good ,Overall good performance.Happy to have I7S wireless bluetooth."
positive,Good Product 🙂
negative,I order again and second one state way not working
positive,I am so happy parsal have received. it's a same as on pic I am very happy. Thank you daraz
positive,Loreal Paris produce best shampoo.I am regular buyer of this company.Price is also good as compare to market.I am satisfied.
negative,5/5 !
positive,"MashAllah super excellent , superb quality ,as i expected ...
recmended "
positive,very good 👍
neutral,trouser's stuff is good but shirt is very poor in quality
neutral,light ok remote not working 
negative,It's not recommended as it's upper part doesn't lock properly even after so many tries.
negative,They took the amount but never delivered the product. Seller is fake and dishonest. Please avoid this seller completely. I have requested for the refund already
positive,laptop seems original I am satisfied
positive,This really a amazing purse i am very thankful for daraz he sent me a amzing mini leather purse
positive,Good quality product very useful 
positive,It is original GiONEE.Voice is very clear.Overall it is excellent 👍
